name,addr.street,addr.city,addr.state,addr.postcode,@lat,@lon,image
Knabe Park,107 Pebbly Beach Road,Avalon,CA,90704,33.3434422,-118.3232938,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNSd0sfMV86o8dP75cKjoCsPydE--cSiq5RchBnpui9LavElkVwAT7B_QStV97yyVsfCRjIEOQCNOQ9i5mWudH3MFdHNLNrp4XgOuaJQPosKm8jXpH3F-Td8oj0d1Q3mf3YPfElc_RbayUqunKNrhM3qfyVvoJ-MP4BJYO0q-Y0y3S-DU1rEjGxFSud9Bt8LoVmFmRtBAuqOHjfDNJXEIkvXG8gqlepCJlgAxkaARVmTdBeNv-ea8yr76QRYtr12Xr4oWFodf0ehy8z2YHchYuaeU8aMqXD3x5TkKOBG_mXNq32Z43mqmSLYHbhjVb8Q2VnoBin7sIGg6tOeb4glWS1ftEROtiCa7l0U-TQSjI9VMAWZBeyA3qpFnJPqP4jsReynRt8-_gyJLibJbzNEc-eW48TOjMkH9ZYBP0QnHctPh6eCK2DPQpTfHDw0CHYxhLbBq2smh4eoPGoqxVTEE8W-03P1DAQQewbBmYpJSX5seqDcUpRzHFL2wZqF2tIW_SKjsYF6vApwaKYZoSk3zweRpkIxhI2ZCbehuR-rXu4qwxfdeh10aBUlKI3QGtfqkFjOmS-SbqAF5pET5q-fWBYqdJqe5oslNpQsIzvNTtDOqjR9aqwKbGQeGyyN3U6SONURwmmk&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Bandini Canyon Park,341 North Marshall Court,Los Angeles,CA,90731,33.7462482,-118.2949716,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNTm7PlNxtl4ZTdmVE6OT1Qk2k_NBI2GWWoGyPn1QC4APXlEFT39uoBe0jJ600In_w6NIAadCqcbqbeGzZLnFznJvon6KqNjHfL33PE5XyArac6txZywMYXIXg0RkiRsOTHFL0J9ERjrv3jpwDW1VoiQEBVHccJADIt2YpLCnNhM__NmzjN67EggGkmlrWaWiQCcncqYQ_xQW5TwziJLlFHpIRhLkZ_PCskQpMT8XQl5Y-dRPIW5PzGscvocr0oIhDXWrPnSMxmsAgLR06MSR6wsLPtfiV_BYhuOPEDT9hu0jm4ChVpl0LJb40JAtZWJ4DcCtnp4tUEnQzautXmHuK-hrdBkWiTo_eq7qj38LpgKxgiszRGpb7joDq1YAenZo6xsOQUje905XbFlMdy19TcjSJ7bzNpCVNZpB1K9jvi_kyFFwPDO9A1XoM1o6D-YyYyW2x0SHYORkOWtwzOZRcTbYyatyS2l_MEN6uODjVNpz46J5t2z1Xf29GR_aW2AvqD3H72WePm9Me240fZoKhrXY7p8QGxaL5Kq_bOz3aiWZXgabGMJUqyoM62cA94BTVpNK7DA9FqtSFqdjiQlYFO7C7AvFpz4J2MMJgKsXR1btwCqc50kUUPicNzFn8tyWTDeZvzr&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Marina Vista Park,5355 East Eliot Street,Long Beach,CA,90803,33.7688644,-118.127534,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNT5kqCIxP1jobVlhD3lAGuW2H-AtGufyuT8kUlhDzMyhKec8H5JUS7jSFJ4GrP2yezFbGoCnxp5D52QQ7TBHQd7NTyJnXrYoZkaLlBNj-iUGEKA0MRcm7owe7IUxPQhGdt55Mfh2V9-Grsilf-nWun2P6twJFMXLYlHJuLj7ik6NAvzdtoeBk4qh9Ukj_aD7yFshPYap1EgYjZKLTZLsZ5FK__WLiZYL2ffacnakMAWu2axvTzbEEXHP7naj0pP2RwXNIo3bSyU256u7r9Q20gX64unosOxczDC-n5DAKa5eIJBosKykJkNkq5Nahqtmh-CvLrssAzNcCMUh3F95PXVduum4do9KLIlKVYHafz-KLj_opVnPYrOf_uA7VAmIRftPV1v0z-9CPqt86F5tep1QHN7rfiV14yIkzAKkgDTZvm4UGYqkDPKVHw4V-EPTLtbThI7DgF_o0brr2Syaf3FfwviiCZo33cmsAdtA6l9kAfhZBiqRrKwv15g3koU0WX7E-te-BxPK7USS7HZlPAUIMBjeZGMT_fvJ_G0Hkh3uvDf6KDWCuysp1rET9cc0iBqs08u0xWNvSksSZiEzQ6P6kCbaF7D4DTf0XBd3b6VqBM0BGUIDEOZDI6M7PASE0lK9g&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Marina Community Park,151 Marina Drive,Seal Beach,CA,90740,33.7457648,-118.11051,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNT3HUGdTaEDnp7196TBYfaz9lbPeLDAEPqYOnRzlOe0vVx_UqNIEALeCv3LZ3gYNSUAW2KwXmzTpCz5K2uJmxE3-3qp0ZkPKlvBrAFdG9VKNhm1am9Yuylt_FoTWFJHDQliepsGM1pI38ryDqiBWk5Zjs--eo6po7MMy_U_nYyLmIH45zhU7r6mFlz0BBGeLN7I0F0LDq9RUZ7FBhdKsG-6gz4CeJvTxJxIyxdU7I6iy9lBTHcdIWUbHlZ6xHwsXJdKljgyww6FNhm9m0CEA15eGKJDYqhVx7cd_7Nq1GD8rhpLlesMbAwjI2d_oe0hakvI3d7vch-BE_kgHA0Lfv6Ww4WsDXzJak7vgX0ZG497HXkH6hlGY8habFXupaCMhlhAKBgFGsOlq_9dG92Izcccw-Pyc5xEeC0lqhe0H23j3EhxFmgVCA1A7fGxNqkYqbPywlE53lx1PKtz4Yb39xMLIOh4jwQOHMBcCpI7UYff3-fP8DpwU95iUXHhZ0XGNhjbel1_N0h2kn4tbTnxah-7Ql0ruQ6GUZQo5BLzOCMA0gw1Xy17LZm2vO8-c-3mU8T8NcYrheWIgao0QU_YxasrE3sgxNRhr-e5ty8BE3V05Aaz_aYQdFF3Pf8y_CWb1ziSlw&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
AIM Sports Group,1709 Apollo Court,Seal Beach,CA,90740,33.7589919,-118.0908008,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNTnKMeJiRY_Va5Ul3M-Upk_R_N29nARPlnIVojwz7yJHLKJEs0uNG_dtvS68RNPs2fkZOLmavW6Sdw1MT6bqi3EMziUR0THH_I1VIWXZfi8vei37M3jJ791OAVCwdurBxzo816svJWTf0husaIee46ykaaK9jPK0tRzN7eAMUDHWKVBiBmYsfpsVkR2ma2vBw9Sg0qkTwRXbgyf2T49FO956Qp88c4ZDvDSODSyFKfq3NZ005ae1SU0UXJDpAECToEg0dQh-w0RomtD6ZCn9PCjLAs1tj-wnQyfa7TWTnuDcmUj25KpCe0GC-0Fcir7TaFppG_VrjE&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Bixby Park,130 Cherry Avenue,Long Beach,CA,90802,33.765966,-118.167132,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNSZ6DZSv1OC-K9_gSOgL1wnHV4rd2CnI2iMT8q4PRZQktVZ0EGaPmymR6ySbb1H0kACCZ5oNiXm3iVot7Rah832znaZ0j5eKU08hsTr0Zr9QoCho_1NZrsOZaAowneR0nFeEKppBlRv8psu9Fn2V2Z08HIJOiJcf3Fp8_nm_yDI0jrREoAURYyjkcsZ8YMEfuZjQ2tlbwHA68jjn4TBh5CjeeSGXjGorgvuJO-xd2C_DwpSFtmQN1YJMz5TqYVkUB0iioy6rQtqkJ9z56JgwjpiapAAmcMEJ4TORhOPtgtWMFzd8VT01A4zmaPua1TVnYYMTqOBEg7bnyOhFQb2E7e-vAJPEJt3KGfDGKZMlv0DW6bY-4Fnc5nBOWeLPrwgMrj5T22nj9_lRxvQy55YK87GmDLk6vl_1BgST_B1RBTlfnxJEZovHkRSe6T4R90rWXweTi7jr-Bubz2MXksi0_om14VjoDIApShgNrLoHILKc0hmwGn-zLQFhNDAeDND2Ll-znjNDce0ei5XNgG5oGTEEmxMwUjNSiBQdfbkAjUvaoDRrdtofU2ZKQpOI1PM08qGfRakt5JOTuK3o_HAQPxCAXSbaRW30g_gsQB4pYUESphaHjqyvwCGV0FPLiAMnT9hKgZy&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Pickleball Courts | Leisure World,13681 El Dorado Drive,Seal Beach,CA,90740,33.7644506,-118.0918268,
Tennis Courts | Marine stadium,5355 East Eliot Street,Long Beach,CA,90803,33.768945,-118.1282931,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNQBVIJ6R84I23fstkKgmKYgbaV7qJDPwpcz73h30oUq0mOXvCy7-ZiqfqKmHjT0DNW0nFTGjFyPBp1TXh8Bw0ZwsTJ3NrumXtTg5PVeSXyvWlFzxmeyKXRMq1nspd5pWiYuWbWkHTg7FjKQtgvSLa80obvCtsB4KxZjBaVPPKwZGQVYwsDkz56x81Q0Ro7QRPUvP9ModhoEax2mqfE4G2vNsqUrehgqSmoNWkspfEZdWY0ctSYzcxz9WwvnfUPtFKnEvD02oeTCRqq3dZa_1xWzgPWywajJPydVOtKuVr_NRfWm3xfEhXWkk4MN4Tr0SMV9qe7P_JewZT-Mij3rdhe7-QKWOWhBwC4z8vEEpd8LZ5FdPE6-8XZp7pQMFq8c0Tlie-UhrSGDLNICjWNJdIYRQSYfU-FvGZSydRpyk-X71T3o5GB3RkQafkMw1q3pnsnpPIyqtM3d24uDizHAXcKQcfFtvzsvpHB4jvrDxK6vEEmunk7wOvKKC8ZWkfVK-9xVklWWrmjoPXgkTEDmcfpczvEwRKy-UEnCgPYy_31Bl4H9msCSZu87-P-jLmR8VCrGWkRMFrtiCKewoMosy4SGyfpqdkRSvvV3sSLzH82XoYMja_tjTu1CAUEd-zxt676zRg&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Bayshore Basketball Courts,14 54th Place,Long Beach,CA,90803,33.7537993,-118.1317834,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNSSVwoxVfwKKoK9s0Oe03nnBWJ3pv1zFvB5TeaIhm3quIjyXN4xfCY4fMCWzPAm54Sdk14Ge48sah9SGmYhQQF6GuJeSHel8ABkgWMPqWHH5VMnuLFN4YOUyYZ_QGoy0v003bUMZ9doIAQejLmhiK3MdfQuIfsUwbQ4wavRNdTfTrJfmT44Z4fEOp7eS3UrHyo8qsNB8mejbX_z19jJNzPgI7F3xij0_E5IhA0pwtVDCsY1RNkPUriNbKEcbocktVqKrzNAwxzAK8lX9UqdwbNjxbgULBy7xgMcJ9i2UfmuBvd99iT3qlVwV_0Wby7-D-cyfqsAivPSE-TdRR0ALGMvj6QSBBgz0cnLZ8g47p8yYJpLhsUPHqv71qwk0AJnlQXtYKRoo7HbCupNAxMp5lDrdFPdgaT5lVU_YZaM9jWT-bPE-WgtShI4Kab4-u8x1EF4NDtX96egpa7S1zYc3D6VwLJ_fI9yaMC5zXc0C2VYqDtjjXY2eZqu1OPQQD1zqsdbnv9qsce2SrEc-13nFFX9I6uFaqH7sZECqc8xOGURmWvYTzpGiGkb6Lo6wHVyXz5Im_zzfrKq6FfAmBt3KTni-WY773qpD6F8U5l5I6zxCCF-mBogADjTtY9OaFN4mPuSwz1y&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Seal Beach Handball,314 Spinnaker Way,Seal Beach,CA,90740,33.7460748,-118.1108285,
Bayshore Playground,5415 East Ocean Boulevard,Long Beach,CA,90803,33.7534149,-118.1315483,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AXQCQNTjN7iqxk4ruP7v9iTprG_43w1buq9vTKdmTk24qouT4dg32o-NcNbqn3djUB6FF0kdh-i4o2Yc64Y-S4po16RqK9H5p3foeqD3L_IcpI9_pXjREAbGf84x_CVcDCexNy8DZZq5DmgQC_cjBCqwz8bU7vYWW22WsGCcfcVXVYg48Ooe5auW1fUOQ-d3UorbvzuT8Cru_5G8-sxzA9BhLqSw6dBD7Qzfpk9SEIZ1c3HTa0Q735tUQrUhwJez4B-u1bFCJFlkgO_VqE9eo8TYcb800ohBqJEsTBPVCImIsRkHJc9PH9-mjJgrpBy7D6XqzWDiDT51pmeqa3itWDoIP-e3fvPoZ_eXZFkazWbYAoxx88zpOjXYr7Tq3WkerLHSk5fDjKN6F7O_8HnUIiA02M7Qge1wlUC-xYibumSfYEgMCN2Igwkgi16aBrnlk7Aodqokg2GEaFdRSNUnzCBYBdiPBwNmdNis5io7N56y4u7fbQEK1XxE-K7bP1oDMSxsOa2J0oukEfHqa5WjQADpmLtraDMu24qkvzQc68-SuBmrq59-lSUoZjKmo3u55LjFaeidzbdpfTclui6Gy_ZW1wkmM5RxMhbpzjnbZ-82VEHFVtwJ6m9FeQxJRo4YTJfz1y7Ewr-1&key=AIzaSyB_RPF64RaB3lypfA6VvXil87xSttgcUNY
Basketball court,130 Cherry Avenue,Long Beach,CA,90802,33.7659066,-118.1671513,
Marina Community Park basketball court,151 Marina Drive,Seal Beach,CA,90740,33.7459795,-118.1100755,
